"","V1","V2"
"332","1552725_s_at","ADAMTS17"
"333","1552726_at","ADAMTS17"
"334","1552727_s_at","ADAMTS17"
"335","1552729_at","SNHG7"
"336","1552730_at","DHH"
"337","1552731_at","ABRA"
"338","1552732_at","ABRA"
"339","1552733_at","KLHDC1"
"340","1552734_at","RICTOR"
"341","1552735_at","PCDHGA4"
"342","1552736_a_at","NETO1"
"343","1552737_s_at","WWP2"
"344","1552738_a_at","ST7L"
"345","1552739_s_at","ST7L"
"346","1552740_at","C2orf15"
"347","1552742_at","KCNH8"
"348","1552743_at","MCF2L"
"349","1552745_at","SLCO6A1"
"350","1552747_a_at","PP2D1"
"351","1552749_a_at","KLC3"
"352","1552750_at","CIB3"
"353","1552751_a_at","CIB3"
"354","1552752_a_at","CADM2"
"355","1552754_a_at","CADM2"
"356","1552755_at","C9orf66"
"357","1552757_s_at","C9orf66"
"358","1552758_at","HDAC9"
"359","1552760_at","HDAC9"
"360","1552761_at","SLC16A11"
"361","1552763_at","TMEM67"
"362","1552765_x_at","TMEM67"
"363","1552766_at","HS6ST2"
"364","1552767_a_at","HS6ST2"
"365","1552768_at","CAMKK1"
"366","1552769_at","ZNF625"
"367","1552770_s_at","ZNF563"
"368","1552771_a_at","LIN9"
"369","1552772_at","CLEC4D"
"370","1552773_at","CLEC4D"
"371","1552774_a_at","SLC25A27"
"372","1552775_at","GPRC6A"
"373","1552777_a_at","RAET1E"
"374","1552779_a_at","SLC44A5"
"375","1552782_at","SLC44A5"
"376","1552783_at","ZNF417"
"377","1552785_at","ZNF781"
"378","1552787_at","HELB"
"379","1552788_a_at","HELB"
"380","1552789_at","SEC62"
"381","1552790_a_at","SEC62"
"382","1552791_a_at","TRDN"
"383","1552792_at","SOCS4"
"384","1552793_at","C8orf31"
"385","1552794_a_at","ZNF547"
"386","1552796_a_at","SIM1"
"387","1552797_s_at","PROM2"
"388","1552798_a_at","TLR4"
"389","1552799_at","TSNARE1"
"390","1552800_at","ABHD11"
"391","1552801_at","CAPN13"
"392","1552803_a_at","STMN1"
"393","1552804_a_at","TIRAP"
"394","1552806_a_at","SIGLEC10"
"395","1552807_a_at","SIGLEC10"
"396","1552808_at","ADAMTSL1"
"397","1552809_at","RFX4"
"398","1552811_at","WFIKKN1"
"399","1552812_a_at","SENP1"
"400","1552813_at","KLF14"
"401","1552814_a_at","KLF14"
"402","1552816_at","NXNL2"
"403","1552818_a_at","BRS3"
"404","1552819_at","LINC00205"
"405","1552822_at","TMX3"
"406","1552825_at","ZNF396"
"407","1552826_at","SLC26A7"
"408","1552827_s_at","SLC26A7"
"409","1552828_at","SNX18"
"410","1552829_at","1552829_at"
"411","1552830_at","FBXO39"
"412","1552833_at","B3GNT6"
"413","1552834_at","B3GNT6"
"414","1552835_at","DENND1B"
"415","1552836_at","ZNF619"
"416","1552837_at","ICK"
"417","1552839_at","FAM71D"
"418","1552841_s_at","BCL2L14"
"419","1552842_at","HS6ST3"
"420","1552843_at","SLC26A1"
"421","1552845_at","CLDN15"
"422","1552846_s_at","RAB42"
"423","1552848_a_at","PTCHD1"
"424","1552849_at","M1AP"
"425","1552851_at","ZSCAN4"
"426","1552852_a_at","ZSCAN4"
"427","1552853_at","VWA5B1"
"428","1552854_a_at","VWA5B1"
"429","1552856_at","LINC00311"
"430","1552857_a_at","HTR6"
"431","1552858_at","MAGEB6"
"432","1552860_at","LOC101930165 /// LOC101930171 /// LOC102725060 /// LOC105369241 /// TCEB3C /// TCEB3CL /// TCEB3CL2"
"433","1552862_at","RUSC1-AS1"
"434","1552863_a_at","CACNG6"
"435","1552865_a_at","LMNTD1"
"436","1552867_at","1552867_at"
"437","1552868_at","CIRBP-AS1"
"438","1552870_s_at","AXDND1"
"439","1552872_at","ASMTL-AS1"
"440","1552873_s_at","ASMTL-AS1"
"441","1552875_a_at","CD200R1"
"442","1552876_at","LINC00334"
"443","1552877_s_at","LINC00334"
"444","1552878_at","ATOH7"
"445","1552879_a_at","ATOH7"
"446","1552880_at","SEC16B"
"447","1552882_a_at","AMER1"
"448","1552884_at","NKX6-3"
"449","1552885_a_at","NKX6-3"
"450","1552887_at","TBATA"
"451","1552889_a_at","EXOC3L2"
"452","1552890_a_at","CABP4"
"453","1552892_at","TNFRSF13C"
"454","1552893_at","CAMK2N2"
"455","1552895_a_at","ANKRD30BP2"
"456","1552897_a_at","KCNG3"
"457","1552898_a_at","KCNG3"
"458","1552899_at","LINC01312"
"459","1552900_a_at","LINC01312"
"460","1552902_a_at","FOXP2"
"461","1552903_at","B4GALNT2"
"462","1552904_at","NETO1"
"463","1552906_at","FMR1NB"
"464","1552908_at","GCSAML"
"465","1552910_at","SIGLEC11"
"466","1552911_at","SIGLEC11"
"467","1552912_a_at","IL23R"
"468","1552913_at","MAGEB18"
"469","1552914_a_at","CD276"
"470","1552915_at","IFNL2"
"471","1552917_at","IFNL1"
"472","1552919_at","C4orf36"
"473","1552921_a_at","FIGNL1"
"474","1552922_at","RIMS1"
"475","1552923_a_at","PITPNM2"
"476","1552924_a_at","PITPNM2"
"477","1552925_at","PCDH10"
"478","1552927_at","TAB3"
"479","1552928_s_at","TAB3"
"480","1552929_at","GRK7"
"481","1552930_at","MMEL1"
"482","1552931_a_at","PDE8A"
"483","1552932_at","NLRP6"
"484","1552933_at","AKNAD1"
"485","1552935_at","ZCCHC5"
"486","1552937_s_at","ATRIP"
"487","1552938_at","ZIC5"
"488","1552939_at","ANGPT1"
"489","1552940_at","TEDDM1"
"490","1552942_at","LOC149373"
"491","1552943_at","GABRG1"
"492","1552944_a_at","PANX2"
"493","1552946_at","ZNF114"
"494","1552947_x_at","ZNF114"
"495","1552948_at","CCDC27"
"496","1552950_at","CFAP161"
"497","1552952_at","RBMY2FP"
"498","1552953_a_at","NEUROD2"
"499","1552954_at","C5orf17"
"500","1552955_at","LINC00208"
"501","1552957_at","DNAH6"
"502","1552960_at","LRRC15"
"503","1552961_at","1552961_at"
"504","1552964_at","CFAP46"
"505","1552965_a_at","B3GNT7"
"506","1552967_at","ZNF645"
"507","1552969_a_at","ZMYM6"
"508","1552970_s_at","ZMYM6"
"509","1552971_at","SGCZ"
"510","1552972_at","LOC100507431"
"511","1552973_at","WNT9B"
"512","1552974_at","1552974_at"
"513","1552975_x_at","1552975_x_at"
"514","1552976_at","DNAJB13"
"515","1552977_a_at","CNPY3"
"516","1552978_a_at","SCAMP1"
"517","1552979_at","LINC00471"
"518","1552980_at","HAS3"
"519","1552982_a_at","FGF4"
"520","1552985_at","SLC30A8"
"521","1552986_at","LOC142937"
"522","1552987_a_at","LOC439933"
"523","1552988_at","C11orf65"
"524","1552990_at","FAM71E2"
"525","1552991_at","OR5P2"
"526","1552993_at","DYDC1"
"527","1552995_at","IL27"
"528","1552997_a_at","IQCF1"
"529","1552998_at","DEFB125"
"530","1552999_a_at","WFDC10B"
"531","1553002_at","DEFB105A /// DEFB105B"
"532","1553003_at","PKHD1"
"533","1553004_at","PKD1L1"
"534","1553006_at","ADGRG4"
"535","1553007_a_at","TENM1"
"536","1553009_s_at","REXO1L1P"
"537","1553011_at","TAF1 /// TAF1L"
"538","1553013_at","CNTNAP5"
"539","1553015_a_at","RECQL4"
"540","1553016_at","ADGRF3"
"541","1553019_at","TMC2"
"542","1553020_at","SMCR5"
"543","1553021_s_at","BICD2"
"544","1553022_at","ZIM3"
"545","1553023_a_at","NOX5"
"546","1553024_at","DAOA-AS1"
"547","1553025_at","ADGRG6"
"548","1553027_a_at","KLHL4"
"549","1553028_at","GPR156"
"550","1553030_a_at","SUOX"
"551","1553031_at","ADGRF4"
"552","1553032_at","IL31RA"
"553","1553033_at","SYTL5"
"554","1553034_at","SDCCAG8"
"555","1553036_at","ADGRF2"
"556","1553037_a_at","SYN2"
"557","1553039_a_at","ASB10"
"558","1553041_at","HTR3C"
"559","1553042_a_at","NFKBID"
"560","1553043_a_at","CD300LF"
"561","1553044_at","GJA10"
"562","1553045_at","WNT9A"
"563","1553046_s_at","GAL3ST2"
"564","1553047_at","PIP4K2B"
"565","1553048_a_at","PIP4K2B"
"566","1553051_s_at","ODF3"
"567","1553052_at","WFDC13"
"568","1553053_at","LINC00521"
"569","1553055_a_at","SLFN5"
"570","1553057_at","SERPINB12"
"571","1553058_at","GIPC3"
"572","1553059_at","PGLYRP3"
"573","1553060_at","PSKH2"
"574","1553061_at","OR6W1P"
"575","1553062_at","MOGAT1"
"576","1553063_at","GPR78"
"577","1553064_at","H1FOO"
"578","1553066_at","TAAR9"
"579","1553067_a_at","GNRHR2"
"580","1553069_at","1553069_at"
"581","1553070_a_at","MYOZ3"
"582","1553071_a_at","MYOZ3"
"583","1553072_at","BNIPL"
"584","1553074_at","ASB11"
"585","1553075_a_at","OFCC1"
"586","1553076_at","OFCC1"
"587","1553077_at","SDR9C7"
"588","1553078_at","OR5P3"
"589","1553079_at","TRIM40"
"590","1553080_at","CSN1S2AP"
"591","1553081_at","WFDC12"
"592","1553082_at","CRYGN"
"593","1553083_at","1553083_at"
"594","1553084_at","STARD6"
"595","1553086_at","C11orf40"
"596","1553087_at","C18orf12"
